owner,token_symbol,token_address,contract_to_revoke,approval_amount_raw,effective_amount_raw,comment
0x339c0db4A0030c88b4A48aafE56CdBa23c8d4338,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x4F168f17923435c999f5C8565ACAb52C2218EdF2,infinite,0,"some kind of mev bot contract"
0x5B5A0580bcfd3673820Bb249514234aFAD33e209,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x4F168f17923435c999f5C8565ACAb52C2218EdF2,infinite,0,"related to yoinksbiggestfan.eth whitehat?"
0x935bfb495E33f74d2E9735DF1DA66acE442ede48,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x4F168f17923435c999f5C8565ACAb52C2218EdF2,infinite,2,"Makina Finance exploiter, $2k balance"
0xC31a49D1c4C652aF57cEFDeF248f3c55b801c649,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x4F168f17923435c999f5C8565ACAb52C2218EdF2,infinite,0,"active last month, $44k balance"
0xD2306a7187FE8B0C0DEe59b50FDC438d2075d24c,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x4F168f17923435c999f5C8565ACAb52C2218EdF2,infinite,153,"active 3 months ago, $23k balance"
0xE08D97e151473A848C3d9CA3f323Cb720472D015,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x4F168f17923435c999f5C8565ACAb52C2218EdF2,infinite,0,"c0ffeebabe, notified, generalized frontrunner?"
0xfA0253943c3FF0e43898cba5A7a0dA9D17C27995,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x4F168f17923435c999f5C8565ACAb52C2218EdF2,infinite,14,"53k balance, last active 91 days ago"
0xDCa9B7e52000e5e0aE07A23EFaaB8613c5f7966B,AAVE,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x8CCB1ffD5C2aa6Bd926473425Dea4c8c15DE60fd,infinite,0,"emptied, last tx Dec-30-2025 08:15:47 AM +UTC"
0x8fa0e72888774B67DcB4944dc8E62A0D6e3185FD,EKUBO,0x04C46E830Bb56ce22735d5d8Fc9CB90309317d0f,0x8CCB1ffD5C2aa6Bd926473425Dea4c8c15DE60fd,infinite,0,"low balance, last used Apr-24-2026 12:56:11 PM +UTC"
0xb7856cB067EBf7E87B19d4af0791Ea9E46472acC,ENA,0x57e114B691Db790C35207b2e685D4A43181e6061,0x8CCB1ffD5C2aa6Bd926473425Dea4c8c15DE60fd,infinite,0,"low balance, last tx Mar-29-2026 04:46:23 AM +UTC"
0xC5198fC91A3271cC401240eEc6DAc1E40C7bA046,RLP,0x4956b52aE2fF65D74CA2d61207523288e4528f96,0x8CCB1ffD5C2aa6Bd926473425Dea4c8c15DE60fd,infinite,0,"no rlp last tx lighter account Dec-30-2025 11:40:59 AM +UTC"
0xDCa9B7e52000e5e0aE07A23EFaaB8613c5f7966B,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x8F52903D17E2D8d6c77D1A1DE0Cc975b6b5a0D15,infinite,1,"emptied, last tx Dec-30-2025 08:15:47 AM +UTC"
